ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url
CFA DIFCAM Sud-Est,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-sud-est.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-sud-est.html,DIFCAM,Champagne-au-Mont-d'Or,,,,,
Saint-Etienne School of Economics,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/institut-dadministration-des-entreprises.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/institut-dadministration-des-entreprises.html,SE²,Saint-Étienne,,,,,
Eklya School of Business Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-eklya-school-of-business-lyon-83110.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-eklya-school-of-business-lyon-83110.html,,Saint-Étienne,,,,,
UFR de chimie - Collegium sciences fondamentales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-chimie-collegium-sciences-fondamentales-82743.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-chimie-collegium-sciences-fondamentales-82743.html,,Aubière,,,,,
"Ecole universitaire de physique et d'ingénierie - Collegium sciences fondamentales - Collegium technologie, sciences pour l'ingénieur",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-universitaire-de-physique-et-d-ingenierie-collegium-sciences-fondamentales--82739.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-universitaire-de-physique-et-d-ingenierie-collegium-sciences-fondamentales--82739.html,EUPI,Aubière,,,,,
"UFR de biologie - Collegium sciences de la vie, santé, environnement",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-biologie-collegium-sciences-de-la-vie-sante-environnement-82652.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-biologie-collegium-sciences-de-la-vie-sante-environnement-82652.html,,Aubière,,,,,
Unité de formation par apprentissage,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-par-apprentissage-82641.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-par-apprentissage-82641.html,UFA ICOF,Lyon,,,,,
"INSEEC Masters of Science, campus de Chambéry",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,,Le Bourget-du-Lac,,,,,
"INSEEC Masters of Science et MBA, campus de Lyon",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-lyon-80891.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-lyon-80891.html,,Lyon,,,,,
Département d'études politiques et territoriales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-d-etudes-politiques-et-territoriales-81634.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-d-etudes-politiques-et-territoriales-81634.html,DEPT,Saint-Étienne,,,,,
Ecole des hautes études en sciences sociales Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-des-hautes-etudes-en-sciences-sociales-9636.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-des-hautes-etudes-en-sciences-sociales-9636.html,EHESS,Lyon,,,,,
