ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
CFA DIFCAM Sud-Est,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-sud-est.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-sud-est.html,DIFCAM,Champagne-au-Mont-d'Or,,se@difcam.com,Auvergne-Rhône-Alpes,nan,https://www.difcam.com/,"Champagne-au-Mont-d'Or
90 Avenue de Lanessan
69410 Champagne-au-Mont-d'Or","
                Pour contacter le CFA DIFCAM Sud-Est, les intéressés peuvent se rendre à l'adresse suivante : 90 Avenue de Lanessan, 69410, Champagne-au-Mont-d'Or. Il est également possible de contacter l'école par e-mail à se@difcam.com ou de visiter le site internet https://www.difcam.com/ pour plus d'informations.
            "
Saint-Etienne School of Economics,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/institut-dadministration-des-entreprises.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/institut-dadministration-des-entreprises.html,SE²,Saint-Étienne,0477421303,se2@univ-st-etienne.fr,Auvergne-Rhône-Alpes,nan,https://se2.univ-st-etienne.fr/,"Saint-Étienne
77 rue Michelet
42100 Saint-Étienne","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter SE² par téléphone au 0477421303, par e-mail à se2@univ-st-etienne.fr, ou visiter le site internet https://se2.univ-st-etienne.fr. L'école est également présente sur les réseaux sociaux, notamment Twitter, Linkedin et Facebook.
            "
Eklya School of Business Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-eklya-school-of-business-lyon-83110.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-eklya-school-of-business-lyon-83110.html,nan,Saint-Étienne,,bachelor@lyon-metropole.cci.fr,Auvergne-Rhône-Alpes,nan,https://www.eklya.fr/,"Saint-Étienne
49 cours Fauriel
42100 Saint-Étienne","
                Pour contacter Eklya School of Business Lyon, vous pouvez envoyer un email à bachelor@lyon-metropole.cci.fr, visiter leur site internet https://www.eklya.fr, ou les suivre sur les réseaux sociaux via Facebook à https://www.facebook.com/eklya.saintetienne/ et Twitter à https://twitter.com/EKLYA_SB. L'école est située au 49 cours Fauriel, 42000, Saint-Étienne.
            "
UFR de chimie - Collegium sciences fondamentales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-chimie-collegium-sciences-fondamentales-82743.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-chimie-collegium-sciences-fondamentales-82743.html,nan,Aubière,0473407845,,Auvergne-Rhône-Alpes,nan,,"Aubière
campus Cézeaux
CS 60026
63178 Aubière cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR de chimie - Collegium sciences fondamentales peut être contactée à l'adresse campus Cézeaux, 63170, Aubière, cedex, CS 60026. Le numéro de téléphone est le 0473407845.
            "
"Ecole universitaire de physique et d'ingénierie - Collegium sciences fondamentales - Collegium technologie, sciences pour l'ingénieur",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-universitaire-de-physique-et-d-ingenierie-collegium-sciences-fondamentales--82739.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-universitaire-de-physique-et-d-ingenierie-collegium-sciences-fondamentales--82739.html,EUPI,Aubière,0473407200,physique@uca.fr,Auvergne-Rhône-Alpes,nan,,"Aubière
4 av Blaise Pascal
CS 60026
63178 Aubière cedex","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, vous pouvez contacter l'EUPI par téléphone au 0473407200, ou par e-mail à physique@uca.fr. L'adresse de l'école est 4 av Blaise Pascal, 63170, Aubière, cedex, CS 60026.
            "
"UFR de biologie - Collegium sciences de la vie, santé, environnement",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-biologie-collegium-sciences-de-la-vie-sante-environnement-82652.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-biologie-collegium-sciences-de-la-vie-sante-environnement-82652.html,nan,Aubière,0473405458,,Auvergne-Rhône-Alpes,nan,https://biologie.uca.fr/,"Aubière
Campus Universitaire des Cézeaux
5 Impasse Amélie Murat
63170 Aubière","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR de biologie - Collegium sciences de la vie, santé, environnement au 0473405458, visiter le site internet https://biologie.uca.fr, ou vous rendre directement à l'adresse 5 Impasse Amélie Murat, Campus Universitaire des Cézeaux, 63170, Aubière.
            "
Unité de formation par apprentissage,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-par-apprentissage-82641.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-par-apprentissage-82641.html,UFA ICOF,Lyon,0478150060,contact@icof.fr,Auvergne-Rhône-Alpes,nan,https://www.icof.fr/,"Lyon
8 avenue Debrousse
69005 Lyon","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter UFA ICOF par téléphone au 0478150060, par e-mail à contact@icof.fr, ou visiter le site internet https://www.icof.fr. L'école est située au 8 avenue Debrousse, 69001, Lyon.
            "
"INSEEC Masters of Science, campus de Chambéry",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,nan,Le Bourget-du-Lac,0479253432,admissions.mscchambery@inseec.com,Auvergne-Rhône-Alpes,nan,http://www.inseec.com/,"Le Bourget-du-Lac
12 avenue du Lac d'Annecy
Savoie Technolac
73370 Le Bourget-du-Lac","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'INSEEC Masters of Science, campus de Chambéry, à l'adresse Savoie Technolac, 12 avenue du Lac d'Annecy, 73370, Le Bourget-du-Lac. Téléphone : 0479253432. E-mail : admissions.mscchambery@inseec.com. Vous pouvez également suivre l'école sur ses réseaux sociaux ou visiter son site internet.
            "
"INSEEC Masters of Science et MBA, campus de Lyon",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-lyon-80891.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-lyon-80891.html,nan,Lyon,0478279075,admissions.mba.lyon@inseec.com,Auvergne-Rhône-Alpes,nan,,"Lyon
25 rue de l'Université
CS 90725
69367 Lyon cedex 7","
                Pour plus d'informations, vous pouvez contacter l'école au 0478279075 ou par e-mail à admissions.mba.lyon@inseec.com. L'adresse de l'établissement est 25 rue de l'Université, 69001, Lyon, cedex 7, CS 90725.
            "
Département d'études politiques et territoriales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-d-etudes-politiques-et-territoriales-81634.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-d-etudes-politiques-et-territoriales-81634.html,DEPT,Saint-Étienne,0477421640,dept@univ-st-etienne.fr,Auvergne-Rhône-Alpes,nan,https://dept.univ-st-etienne.fr/,"Saint-Étienne
77 Rue Michelet
Campus Tréflerie / Bât Michelet
42023 Saint-Étienne cedex 2","
                Pour toute information supplémentaire ou pour candidater, le DEPT est joignable à l'adresse Campus Tréflerie / Bât Michelet, 77 Rue Michelet, 42000, Saint-Étienne, cedex 2. Vous pouvez également les contacter par téléphone au 0477421640 ou par e-mail à dept@univ-st-etienne.fr. Plus d'informations sont disponibles sur leur site internet https://dept.univ-st-etienne.fr.
            "
