ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Institut national des techniques économiques et comptables,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-5186.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-5186.html,INTEC,Nantes,0240161013,intec@cnam-paysdelaloire.fr,Pays de la Loire,nan,,"Nantes
BP 31115
25 boulevard Guy Mollet
44311 Nantes cedex 3","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'INTEC est joignable à l'adresse 25 boulevard Guy Mollet, BP 31115, 44000, Nantes, cedex 3. Vous pouvez également les contacter par téléphone au 0240161013, par e-mail à intec@cnam-paysdelaloire.fr, ou via leurs réseaux sociaux sur Twitter et Facebook.
            "
Ecole supérieure des agricultures,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-agricultures-5332.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-agricultures-5332.html,ESA,Angers,,,Pays de la Loire,nan,,,
Institut Arts et Métiers de Laval,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-institut-de-laval-83054.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-institut-de-laval-83054.html,nan,Changé,0243497580,,Pays de la Loire,nan,https://artsetmetiers.fr/fr/,"Changé
rue Marie Curie
Laval Virtual Center
53810 Changé","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'Institut Arts et Métiers de Laval peut être contacté directement à l'adresse Laval Virtual Center, rue Marie Curie, 53810, Changé. Le numéro de téléphone est le 0243497580. Les intéressés peuvent également se renseigner via les réseaux sociaux ou le site internet officiel : Facebook (https://www.facebook.com/AMParisTech), Linkedin (https://www.linkedin.com/school/arts-et-m-tiers-paristech), Twitter (https://twitter.com/ArtsetMetiers_), ou directement sur https://artsetmetiers.fr/fr/.
            "
Faculté d'éducation - UCO Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-d-education-8945.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-d-education-8945.html,nan,Angers,0241816582,education@uco.fr,Pays de la Loire,nan,,"Angers
BP 10808
3 place André Leroy
49008 Angers cedex 01","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, la Faculté d'éducation - UCO Angers peut être contactée à l'adresse 3 place André Leroy, BP 10808, 49000, Angers, cedex 01. Les intéressés peuvent également appeler au 0241816582, envoyer un e-mail à education@uco.fr, ou se renseigner via les réseaux sociaux et le site internet officiel.
            "
Institut de Formation en Education Physique et en Sport d'Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-en-education-physique-et-en-sport-d-angers-8944.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-en-education-physique-et-en-sport-d-angers-8944.html,IFEPSA,Les Ponts-de-Cé,0241452640,ifepsa@uco.fr,Pays de la Loire,nan,http://www.ifepsa.uco.fr/,"Les Ponts-de-Cé
BP 40071
49 rue des Perrins
49136 Les Ponts-de-Cé cedex","
                Pour contacter l'Institut de Formation en Education Physique et en Sport d'Angers, vous pouvez vous rendre à l'adresse suivante : 49 rue des Perrins, BP 40071, 49130, Les Ponts-de-Cé, cedex. L'école est également joignable par téléphone au 0241452640, par e-mail à ifepsa@uco.fr, ou via son site internet http://www.ifepsa.uco.fr. Les réseaux sociaux tels qu'Instagram, Linkedin et Facebook offrent également des moyens de communication et d'information sur l'école.
            "
Faculté des sciences humaines & sociales - UCO Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-humaines-et-sociales-8942.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-humaines-et-sociales-8942.html,nan,Angers,0241816619,shs@uco.fr,Pays de la Loire,nan,https://www.uco.fr/#utm_source=letudiant&utm_medium=referral&utm_campaign=sites_ref_promo,"Angers
BP 10808
3 place André Leroy
49008 Angers cedex 01","
                Pour contacter la Faculté des sciences humaines & sociales - UCO Angers, vous pouvez vous rendre à l'adresse suivante : 3 place André Leroy, BP 10808, 49000, Angers, cedex 01. Vous pouvez également appeler au 0241816619, envoyer un e-mail à shs@uco.fr, ou suivre l'établissement sur ses réseaux sociaux.
            "
Faculté des humanités - UCO Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-humanites-8941.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-humanites-8941.html,UCO,Angers,0241816661,humanites@uco.fr,Pays de la Loire,nan,,"Angers
3 Place André Leroy
BP 10808
49000 Angers cedex 1","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté des humanités - UCO Angers à l'adresse 3 Place André Leroy, 49000 Angers, cedex 1, BP 10808. Le téléphone est le 0241816661 et l'e-mail est humanites@uco.fr. L'école est également présente sur les réseaux sociaux, notamment Linkedin, Twitter, Facebook, et Instagram.
            "
Faculté de théologie et de sciences religieuses - UCO Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-theologie-et-de-sciences-religieuses-8940.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-theologie-et-de-sciences-religieuses-8940.html,UCO,Angers,0241816622,theologie@uco.fr,Pays de la Loire,nan,https://www.uco.fr/#utm_source=letudiant&utm_medium=referral&utm_campaign=sites_ref_promo,"Angers
BP 10808
3 place André Leroy
49008 Angers cedex 01","
                Pour plus d'informations, vous pouvez contacter l'école par téléphone au 0241816622, par e-mail à theologie@uco.fr, ou consulter leur site internet et réseaux sociaux via les liens fournis.
            "
Ecole supérieure d'économie et de management des patrimoines,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-economie-et-de-management-des-patrimoines-8936.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-economie-et-de-management-des-patrimoines-8936.html,ESEMAP,Angers,0241962104,esemap@contact.univ-angers.fr,Pays de la Loire,nan,https://www.univ-angers.fr/fr/acces-directs/facultes-et-instituts/faculte-de-droit-d-economie-et-de-gestion/formations/esemap.html,"Angers
13 allée François Mitterrand
BP 13633
49036 Angers cedex 01","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'ESEMAP peut être contactée à l'adresse 13 allée François Mitterrand, 49000, Angers, cedex 01, BP 13633. Par téléphone au 0241962104 ou par e-mail à esemap@contact.univ-angers.fr. Plus de détails sont disponibles sur leur site internet.
            "
"ESTHUA - Faculté de Tourisme, Culture et Hospitalité",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-etudes-superieures-de-tourisme-et-d-hotellerie-de-l-universite-d-angers-8930.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-etudes-superieures-de-tourisme-et-d-hotellerie-de-l-universite-d-angers-8930.html,nan,Angers,0244688100,scolarite.esthua@univ-angers.fr,Pays de la Loire,nan,https://www.univ-angers.fr/esthua,"Angers
BP 40455
7 allée François Mitterrand
49004 Angers Cedex 01","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'ESTHUA par téléphone au 0244688100 ou par e-mail à scolarite.esthua@univ-angers.fr. L'école est également présente sur les réseaux sociaux, où vous pouvez suivre ses actualités sur Instagram (@ufr_esthua) et Linkedin. L'adresse de l'établissement est 7 allée François Mitterrand, BP 40455, 49000, Angers, Cedex 01. N'hésitez pas à les contacter pour plus de détails sur leurs programmes et modalités d'admission.
            "
