ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
"Faculté d'économie et de gestion, campus Marseille",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/faculte-deconomie-et-de-gestion-campus-marseille.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/faculte-deconomie-et-de-gestion-campus-marseille.html,FEG Marseille,Marseille,0491139600,feg-com@univ-amu.fr,Provence-Alpes-Côte d'Azur,nan,https://feg.univ-amu.fr/,"Marseille
14 rue Puvis de Chavannes
13231
13001 Marseille cedex 1","
                Pour toute information supplémentaire ou pour des questions spécifiques, vous pouvez contacter FEG Marseille par téléphone au 0491139600, ou par e-mail à feg-com@univ-amu.fr. L'école est également présente sur les réseaux sociaux (Facebook, Twitter, Linkedin, Instagram) et dispose d'un site internet https://feg.univ-amu.fr où vous trouverez des informations détaillées sur les programmes et les modalités d'admission.
            "
Exxea,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/exxea.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/exxea.html,nan,Marseille,0175433989,formation@exxea.net,Provence-Alpes-Côte d'Azur,nan,https://exxea.net/,"Marseille
53 Boulevard Lacordaire
13013 Marseille","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, Exxea est joignable à l'adresse 53 Boulevard Lacordaire, 13001, Marseille. Vous pouvez également les contacter par téléphone au 0175433989, par e-mail à formation@exxea.net, ou visiter leur site internet https://exxea.net/. Exxea est également présent sur les réseaux sociaux, notamment Twitter, Instagram, Facebook, et Linkedin.
            "
IESCA Aix-en-Provence,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-iesca-aix-en-provence-83098.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-iesca-aix-en-provence-83098.html,nan,Aix-en-Provence,0484490142,13@iesca.fr,Provence-Alpes-Côte d'Azur,nan,https://www.iesca.fr/,"Aix-en-Provence
3 rue des Allumettes
13100 Aix-en-Provence","
                Pour contacter l'IESCA Aix-en-Provence, vous pouvez vous rendre à l'adresse suivante : 3 rue des Allumettes, 13080, Aix-en-Provence. Vous pouvez également appeler au 0484490142, envoyer un e-mail à 13@iesca.fr, ou visiter le site internet https://www.iesca.fr. L'école est aussi présente sur les réseaux sociaux, notamment LinkedIn, Twitter, Instagram, et Facebook.
            "
Institut de droit de l'environnement et du développement durable,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-de-l-environnement-et-du-developpement-durable-83083.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-de-l-environnement-et-du-developpement-durable-83083.html,IDEDD,Marseille,0491396500,fdsp-idedd-secretariat@univ-amu.fr,Provence-Alpes-Côte d'Azur,nan,https://idedd-facdedroit.univ-amu.fr/,"Marseille
110 La Canebière
13001 Marseille","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, les candidats peuvent contacter l'IDEDD par téléphone au 0491396500, par e-mail à fdsp-idedd-secretariat@univ-amu.fr, ou visiter le site internet https://idedd-facdedroit.univ-amu.fr. L'institut est situé au 110 La Canebière, 13001, Marseille, et accueille les étudiants et les visiteurs souhaitant en savoir plus sur ses programmes et ses activités.
            "
Faculté de médecine,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-medecine-8994.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-medecine-8994.html,nan,Nice,0493377777,,Provence-Alpes-Côte d'Azur,nan,http://medecine.unice.fr/,"Nice
28 av de Valombrose
06107 Nice cedex 2","
                Pour contacter la Faculté de médecine de Nice, vous pouvez vous rendre à l'adresse suivante : 28 av de Valombrose, 06000, Nice, cedex 2. Pour une réponse rapide, appelez le 0493377777 ou visitez le site internet http://medecine.unice.fr. Les étudiants peuvent également s'engager via les associations étudiantes telles que Humanice, joignable à humanice.com@gmail.com, ou l'Association des étudiants en médecine de Nice, contactable au 0493816759 et par e-mail à carabinsnicois@gmail.com.
            "
Faculté des sciences,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-8992.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-8992.html,nan,Nice,0492076996,direction-sciences@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://univ-cotedazur.fr/,"Nice
28 Avenue Valrose
06100 Nice","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté des sciences de Nice à l'adresse 28 Avenue Valrose, 06000, Nice. Le numéro de téléphone est le 0492076996 et l'adresse e-mail est direction-sciences@univ-cotedazur.fr. Plus de détails sont disponibles sur le site internet https://univ-cotedazur.fr/. Les associations étudiantes, telles que le BDE sciences, sont également joignables via leur e-mail equipe@bdesciences.com.
            "
Institut du droit de la paix et du développement,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-du-droit-de-la-paix-et-du-developpement-8990.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-du-droit-de-la-paix-et-du-developpement-8990.html,IdPD,Nice,0489152663,idpd@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://idpd.univ-cotedazur.fr/,"Nice
av du Doyen Louis Trotabas
06050 Nice cedex 1","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'Institut du droit de la paix et du développement peut être contacté à l'adresse suivante : av du Doyen Louis Trotabas, 06000, Nice, cedex 1. Les intéressés peuvent également appeler le 0489152663, envoyer un e-mail à idpd@univ-cotedazur.fr ou visiter le site internet https://idpd.univ-cotedazur.fr/ pour plus de détails.
            "
"Faculté des lettres, arts et sciences humaines",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-arts-et-sciences-humaines-8989.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-arts-et-sciences-humaines-8989.html,Faculté LASH,Nice,0493375353,scol-lash@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://lettres.unice.fr/,"Nice
98 bd Edouard Herriot
BP 3209
06204 Nice cedex 3","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, la Faculté LASH peut être contactée à l'adresse 98 bd Edouard Herriot, 06000, Nice, cedex 3, BP 3209. Le numéro de téléphone est le 0493375353 et les demandes par e-mail peuvent être envoyées à scol-lash@univ-cotedazur.fr. Plus de détails sont disponibles sur leur site internet http://lettres.unice.fr.
            "
Faculté de droit et science politique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-et-science-politique-8988.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-et-science-politique-8988.html,nan,Nice,0492157000,sec-doyen-droit@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://droit.unice.fr/,"Nice
av du Doyen Louis Trotabas
06050 Nice cedex 1","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté de droit et science politique de Nice à l'adresse av du Doyen Louis Trotabas, 06000, Nice, cedex 1. Par téléphone au 0492157000 ou par e-mail à sec-doyen-droit@univ-cotedazur.fr. Plus d'informations sont disponibles sur leur site internet http://droit.unice.fr.
            "
Faculté des sciences du sport,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-du-sport-8987.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-du-sport-8987.html,UFR STAPS,Nice,0489153900,accueil-staps@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://unice.fr/staps,"Nice
261 Boulevard du Mercantour
06200 Nice","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR STAPS de Nice peut être contactée à l'adresse 261 Boulevard du Mercantour, 06000, Nice. Les intéressés peuvent également appeler le 0489153900, envoyer un e-mail à accueil-staps@univ-cotedazur.fr, ou visiter le site internet http://unice.fr/staps. Les réseaux sociaux tels que Facebook, Twitter et Linkedin offrent aussi des informations et des mises à jour régulières sur l'école.
            "
Institut d'administration des entreprises - Graduate School of Management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-8986.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-8986.html,IAE Nice,Nice,0489152100,iae@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://iae.unice.fr/,"Nice
24 av des Diables Bleus
Pôle univ St Jean d'Angély
06357 Nice cedex 4","
                Pour contacter l'IAE Nice, vous pouvez vous rendre à l'adresse suivante : Pôle univ St Jean d'Angély, 24 av des Diables Bleus, 06000, Nice, cedex 4. Vous pouvez également les appeler au 0489152100, leur envoyer un e-mail à iae@univ-cotedazur.fr, ou les suivre sur leurs réseaux sociaux Facebook et Twitter.
            "
Institut d'administration des entreprises,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9019.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9019.html,IAE de Toulon,Toulon,0483366310,iae-toulon@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,https://www.iae-toulon.fr/,"Toulon
Avenue Roger Devoucoux
83000 Toulon","
                Pour toute demande d'information ou pour candidater, vous pouvez contacter l'IAE de Toulon à l'adresse Avenue Roger Devoucoux, 83000, Toulon. Le numéro de téléphone est le 0483366310 et l'adresse e-mail est iae-toulon@univ-tln.fr. Pour plus de détails sur les formations et les modalités d'admission, visitez le site internet https://www.iae-toulon.fr.
            "
UFR information et communication - Ingémédia,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-information-et-communication-ingemedia-9018.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-information-et-communication-ingemedia-9018.html,nan,Toulon,0483366328,ufr-ingemedia@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,,"Toulon
Avenue Roger Devoucoux
83000 Toulon","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR Ingémédia par téléphone au 0483366328 ou par e-mail à ufr-ingemedia@univ-tln.fr. L'école est située à l'adresse suivante : Avenue Roger Devoucoux, 83000, Toulon. N'hésitez pas à prendre contact pour découvrir comment l'UFR Ingémédia peut vous aider à atteindre vos objectifs professionnels.
            "
UFR sciences et techniques des activités physiques et sportives,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-9015.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-9015.html,UFR STAPS,Toulon,0494142282,staps@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,,"Toulon
Université de Toulon
CS 60584
83041 Toulon cedex 9","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR STAPS de l'Université de Toulon par téléphone au 0494142282 ou par e-mail à staps@univ-tln.fr. L'adresse postale pour toute correspondance est Université de Toulon, 83000 Toulon, cedex 9, CS 60584.
            "
"UFR lettres, langues et sciences humaines",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-lettres-langues-et-sciences-humaines-9012.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-lettres-langues-et-sciences-humaines-9012.html,nan,Toulon,0494142899,ufrlettres@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,,"Toulon
Université de Toulon
CS 60584
83041 Toulon cedex 9","
                Pour toute information complémentaire ou pour candidater à l'une des formations de l'UFR lettres, langues et sciences humaines, les intéressés peuvent contacter l'établissement à l'adresse suivante : Université de Toulon, 83000, Toulon, cedex 9, CS 60584. Le numéro de téléphone est le 0494142899 et l'adresse e-mail est ufrlettres@univ-tln.fr. N'hésitez pas à prendre contact pour toute question relative aux admissions, aux programmes ou à la vie étudiante.
            "
"UFR de droit, antenne de Draguignan",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-droit-antenne-de-draguignan-9011.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-droit-antenne-de-draguignan-9011.html,nan,Draguignan,0494146770,droit.draguignan@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,https://droit.univ-tln.fr/,"Draguignan
250 rue Jean Aicart
BP 182
83305 Draguignan cedex","
                Pour obtenir plus d'informations sur l'UFR de droit, antenne de Draguignan, les intéressés peuvent contacter l'établissement au 0494146770 ou par e-mail à droit.draguignan@univ-tln.fr. L'adresse de l'école est 250 rue Jean Aicart, 83300, Draguignan, cedex, BP 182. Plus de détails sont disponibles sur le site internet https://droit.univ-tln.fr.
            "
UFR sciences et techniques,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-9009.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-9009.html,UFR ST,Toulon,0494142374,ufrst@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,https://sctech.univ-tln.fr/,"Toulon
Université de Toulon
CS 60584
83041 Toulon cedex 9","
                Pour toute demande d'information ou pour entamer une procédure d'admission, l'UFR ST peut être contactée à l'adresse suivante : Université de Toulon, 83000, Toulon, cedex 9, CS 60584. Les candidats peuvent également appeler le 0494142374, envoyer un e-mail à ufrst@univ-tln.fr, ou visiter le site internet https://sctech.univ-tln.fr pour plus de détails sur les formations et la vie étudiante.
            "
UFR des sciences économiques et de gestion,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-economiques-et-de-gestion-9008.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-economiques-et-de-gestion-9008.html,nan,Toulon,0483366329,ufrsceco@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,https://eco.univ-tln.fr/,"Toulon
70 av Roger Devoucoux
bâtiment PI
83000 Toulon","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR des sciences économiques et de gestion par téléphone au 0483366329, par e-mail à ufrsceco@univ-tln.fr, ou visiter le site internet https://eco.univ-tln.fr. L'école est située au bâtiment PI, 70 av Roger Devoucoux, 83000, Toulon.
            "
Faculté de droit,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-faculte-de-droit-9006.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-faculte-de-droit-9006.html,nan,Toulon,0494467500,scolarite.droit@univ-tln.fr,Provence-Alpes-Côte d'Azur,nan,https://droit.univ-tln.fr/,"Toulon
35 av Alphonse Daudet
BP 1416
83056 Toulon cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter la Faculté de droit à l'adresse 35 av Alphonse Daudet, 83000 Toulon, cedex, BP 1416, par téléphone au 0494467500, ou par e-mail à scolarite.droit@univ-tln.fr. Plus d'informations sont également disponibles sur leur site internet https://droit.univ-tln.fr.
            "
Formaposte Sud Est,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-formaposte-mediterranee-1723.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-formaposte-mediterranee-1723.html,nan,Marseille,0491132540,contact@formaposte.com,Provence-Alpes-Côte d'Azur,nan,https://formaposte-sudest.fr/,"Marseille
rue Paul Langevin
CS 50005
13453 Marseille cedex 13","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, Formaposte Sud Est peut être contacté à l'adresse rue Paul Langevin, 13001, Marseille, cedex 13, CS 50005. Par téléphone au 0491132540, par e-mail à contact@formaposte.com, ou via leur site internet https://formaposte-sudest.fr et leur page Facebook.
            "
Faculté des sciences,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-8992.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-8992.html,nan,Nice,0492076996,direction-sciences@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://univ-cotedazur.fr/,"Nice
28 Avenue Valrose
06100 Nice","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté des sciences de Nice à l'adresse 28 Avenue Valrose, 06000, Nice. Le numéro de téléphone est le 0492076996 et l'adresse e-mail est direction-sciences@univ-cotedazur.fr. Plus de détails sont disponibles sur le site internet https://univ-cotedazur.fr/. Les associations étudiantes, telles que le BDE sciences, sont également joignables via leur e-mail equipe@bdesciences.com.
            "
Institut du droit de la paix et du développement,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-du-droit-de-la-paix-et-du-developpement-8990.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-du-droit-de-la-paix-et-du-developpement-8990.html,IdPD,Nice,0489152663,idpd@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://idpd.univ-cotedazur.fr/,"Nice
av du Doyen Louis Trotabas
06050 Nice cedex 1","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'Institut du droit de la paix et du développement peut être contacté à l'adresse suivante : av du Doyen Louis Trotabas, 06000, Nice, cedex 1. Les intéressés peuvent également appeler le 0489152663, envoyer un e-mail à idpd@univ-cotedazur.fr ou visiter le site internet https://idpd.univ-cotedazur.fr/ pour plus de détails.
            "
"Faculté des lettres, arts et sciences humaines",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-arts-et-sciences-humaines-8989.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-arts-et-sciences-humaines-8989.html,Faculté LASH,Nice,0493375353,scol-lash@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://lettres.unice.fr/,"Nice
98 bd Edouard Herriot
BP 3209
06204 Nice cedex 3","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, la Faculté LASH peut être contactée à l'adresse 98 bd Edouard Herriot, 06000, Nice, cedex 3, BP 3209. Le numéro de téléphone est le 0493375353 et les demandes par e-mail peuvent être envoyées à scol-lash@univ-cotedazur.fr. Plus de détails sont disponibles sur leur site internet http://lettres.unice.fr.
            "
Faculté de droit et science politique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-et-science-politique-8988.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-et-science-politique-8988.html,nan,Nice,0492157000,sec-doyen-droit@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://droit.unice.fr/,"Nice
av du Doyen Louis Trotabas
06050 Nice cedex 1","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté de droit et science politique de Nice à l'adresse av du Doyen Louis Trotabas, 06000, Nice, cedex 1. Par téléphone au 0492157000 ou par e-mail à sec-doyen-droit@univ-cotedazur.fr. Plus d'informations sont disponibles sur leur site internet http://droit.unice.fr.
            "
Faculté des sciences du sport,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-du-sport-8987.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-du-sport-8987.html,UFR STAPS,Nice,0489153900,accueil-staps@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,http://unice.fr/staps,"Nice
261 Boulevard du Mercantour
06200 Nice","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR STAPS de Nice peut être contactée à l'adresse 261 Boulevard du Mercantour, 06000, Nice. Les intéressés peuvent également appeler le 0489153900, envoyer un e-mail à accueil-staps@univ-cotedazur.fr, ou visiter le site internet http://unice.fr/staps. Les réseaux sociaux tels que Facebook, Twitter et Linkedin offrent aussi des informations et des mises à jour régulières sur l'école.
            "
Institut d'administration des entreprises - Graduate School of Management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-8986.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-8986.html,IAE Nice,Nice,0489152100,iae@univ-cotedazur.fr,Provence-Alpes-Côte d'Azur,nan,https://iae.unice.fr/,"Nice
24 av des Diables Bleus
Pôle univ St Jean d'Angély
06357 Nice cedex 4","
                Pour contacter l'IAE Nice, vous pouvez vous rendre à l'adresse suivante : Pôle univ St Jean d'Angély, 24 av des Diables Bleus, 06000, Nice, cedex 4. Vous pouvez également les appeler au 0489152100, leur envoyer un e-mail à iae@univ-cotedazur.fr, ou les suivre sur leurs réseaux sociaux Facebook et Twitter.
            "
