ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Centre de formation d'apprentis Cerfal régional multiprofessionnel,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-cerfal-regional-multiprofessionnel-6743.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-cerfal-regional-multiprofessionnel-6743.html,CFA Cerfal,Paris,,,Île-de-France,nan,,,
Centre de formation d'apprentis INSTA,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-82129.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-82129.html,CFA INSTA,Paris,,,Île-de-France,nan,,,
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-72268.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-72268.html,CFA Cnam IDF,La Plaine Saint Denis,,,Île-de-France,nan,,,
"CY Tech, grande école de sciences, d'ingénierie, d'économie et de gestion, campus de Cergy",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cy-tech-grande-ecole-de-sciences-dingenierie-deconomie-et-de-gestion-campus-de-cergy.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cy-tech-grande-ecole-de-sciences-dingenierie-deconomie-et-de-gestion-campus-de-cergy.html,CY Tech Cergy,Cergy Pontoise,0134251010,administration-pau@cy-tech.fr,Île-de-France,nan,https://cytech.cyu.fr/,"Cergy Pontoise
av du Parc
95000 Cergy Pontoise cedex","
                Pour toute information supplémentaire ou pour candidater, CY Tech peut être contactée à l'adresse av du Parc, 95000, Cergy Pontoise, cedex. Par téléphone au 0134251010 ou par e-mail via administration-pau@cy-tech.fr. L'école est également présente sur les réseaux sociaux, permettant de suivre ses actualités et événements.
            "
MODART International Paris,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-mod-art-international-82768.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-mod-art-international-82768.html,nan,Paris,0158393662,admissions@modart-paris.com,Île-de-France,nan,https://modart-paris.com/,"Paris
39 quai André Citroën
75015 Paris","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter MODART International Paris au 0158393662 ou par e-mail à admissions@modart-paris.com. Plus de détails sont disponibles sur leur site internet https://modart-paris.com. Vous pouvez également suivre l'école sur Twitter @modart_paris et sur Facebook à l'adresse https://www.facebook.com/ModartFrance/
            "
Institut national des techniques économiques et comptables,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-7047.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-7047.html,INTEC,Paris,,,Île-de-France,nan,,,
CFA DIFCAM IDF,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-idf.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-idf.html,CFA DIFCAM IDF,Montrouge,,idf@difcam.com,Île-de-France,nan,https://www.difcam.com/,"Montrouge
34 Rue Camille Pelletan
92120 Montrouge","
                Pour contacter le CFA DIFCAM IDF, les intéressés peuvent se rendre à l'adresse suivante : 34 Rue Camille Pelletan, 92120, Montrouge. Il est également possible de joindre l'école par téléphone ou par e-mail à idf@difcam.com pour toute demande d'information ou pour entamer une procédure d'admission.
            "
Graduate School Sociologie et Science Politique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/graduate-school-sociologie-et-science-politique.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/graduate-school-sociologie-et-science-politique.html,nan,Guyancourt,,gs.ssp@universite-paris-saclay.fr,Île-de-France,nan,http://www.universite-paris-saclay.fr/graduate-schools/sociologie-et-science-politique,"Guyancourt
47 bd Vauban
78047 Guyancourt cedex","
                Pour toute information supplémentaire ou pour soumettre une candidature, vous pouvez contacter la Graduate School Sociologie et Science Politique par e-mail à gs.ssp@universite-paris-saclay.fr. L'école est également joignable à l'adresse 47 bd Vauban, 78042, Guyancourt, cedex. Plus d'informations sont disponibles sur le site internet http://www.universite-paris-saclay.fr/graduate-schools/sociologie-et-science-politique.
            "
AgroParisTech - campus de Grignon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/agroparistech-campus-de-grignon.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/agroparistech-campus-de-grignon.html,nan,Thiverval-Grignon,0130815353,,Île-de-France,nan,https://www.agroparistech.fr/,"Thiverval-Grignon
Avenue Lucien Bretignières
78850 Thiverval-Grignon","
                Pour toute information supplémentaire ou pour prendre contact avec AgroParisTech - campus de Grignon, vous pouvez vous rendre sur le site internet de l'école à l'adresse https://www.agroparistech.fr. Vous pouvez également les joindre par téléphone au 0130815353 ou suivre leurs actualités sur les réseaux sociaux via Facebook, Twitter, et Linkedin.
            "
Ecole Supérieure de la Banque – Ile-de-France,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/lecole-superieure-de-la-banque.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/lecole-superieure-de-la-banque.html,ESBanque Ile-de-France,Nanterre,0141025570,alternance@esbanque.fr,Île-de-France,nan,http://www.esbanque.fr/,"Nanterre
HUB 247
39 Boulevard Blaise Pascal
92000 Nanterre","
                Pour plus d'informations sur les programmes et les admissions, vous pouvez contacter l'ESBanque Ile-de-France au 0141025570 ou par e-mail à alternance@esbanque.fr. L'école est également présente sur les réseaux sociaux et dispose d'un site internet pour des informations détaillées : http://www.esbanque.fr.
            "
