ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Ecole Supérieure de la Banque – Bourgogne-Franche-Comté,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-des-metiers-de-la-banque-79594.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-des-metiers-de-la-banque-79594.html,ESBanque Bourgogne-Franche-Comté,Dijon,380631484,dijon@banque-apprentissage.com,Bourgogne-Franche-Comté,,,"Dijon
9 bis bd Voltaire
21000 Dijon","
                Pour contacter l'ESBanque Bourgogne-Franche-Comté, vous pouvez vous rendre à l'adresse suivante : 9 bis bd Voltaire, 21000, Dijon. Pour plus d'informations, vous pouvez également appeler le 0380631484 ou envoyer un e-mail à dijon@banque-apprentissage.com ou à camille.collas@cfpb.fr.
            "
Centre de formation d'apprentis de l'enseignement supérieur de Franche-Comté,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-de-l-enseignement-superieur-de-franche-comte-77745.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-de-l-enseignement-superieur-de-franche-comte-77745.html,CFA Sup FC,Besançon,381567688,contact@cfasup-fc.com,Bourgogne-Franche-Comté,,http://www.cfasup-fc.com/,"Besançon
48 chemin des Founottes
immeuble le Pixel
25000 Besançon","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, le CFA Sup FC peut être contacté à l'adresse immeuble le Pixel, 48 chemin des Founottes, 25000, Besançon. Le numéro de téléphone est le 0381567688 et l'adresse e-mail est contact@cfasup-fc.com. Plus de détails sont disponibles sur leur site internet http://www.cfasup-fc.com.
            "
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/centre-de-formation-dapprentis-2.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/centre-de-formation-dapprentis-2.html,CFA supérieur de Bourgogne,Dijon,380396912,gestionnaire@cfasupbourgogne.fr,Bourgogne-Franche-Comté,,https://cfasupbourgogne.fr/,"Dijon
11 rue Edgar faure
Cité de l'alternance bât Sully
21000 Dijon","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter le CFA supérieur de Bourgogne à l'adresse suivante : Cité de l'alternance bât Sully, 11 rue Edgar Faure, 21000, Dijon. Par téléphone au 0380396912 ou par e-mail à gestionnaire@cfasupbourgogne.fr. Plus d'informations sont également disponibles sur leur site internet https://cfasupbourgogne.fr/.
            "
"Arts et Métiers, campus de Chalon-sur-Saône",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-chalon-sur-saone-76975.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-chalon-sur-saone-76975.html,,Chalon-sur-Saône,385909860,,Bourgogne-Franche-Comté,,https://artsetmetiers.fr/fr/,"Chalon-sur-Saône
2 rue Thomas Dumorey
71100 Chalon-sur-Saône","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter le campus de Chalon-sur-Saône d'Arts et Métiers au 0385909860, ou visiter leur site internet à l'adresse https://artsetmetiers.fr/fr/. Les réseaux sociaux tels que Facebook, Linkedin et Twitter offrent également des informations et des mises à jour régulières sur la vie et les programmes de l'école.
            "
Ecole de commerce et management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-de-commerce-et-management-80245.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-de-commerce-et-management-80245.html,ECM Besançon,Besançon,381418580,contact@ecm-france.fr,Bourgogne-Franche-Comté,,https://www.ecm-france.fr/,"Besançon
4 rue Alfred de Vigny
25000 Besançon","
                Pour en savoir plus sur l'ECM Besançon ou pour toute question relative aux admissions, vous pouvez contacter l'école directement à l'adresse 4 rue Alfred de Vigny, 25000, Besançon. Par téléphone au 0381418580 ou par e-mail à contact@ecm-france.fr. N'hésitez pas également à explorer leur site internet https://www.ecm-france.fr ou à les suivre sur leurs réseaux sociaux pour rester informé des dernières actualités.
            "
Ecole de commerce et management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-de-commerce-et-management-80244.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-de-commerce-et-management-80244.html,ECM Belfort,Belfort,381418580,contact@ecm-besancon.fr,Bourgogne-Franche-Comté,,https://www.ecm-france.fr/,"Belfort
16 rue Becquerel
Techn'hom 3 centre d'affaires
90000 Belfort","
                Pour contacter l'ECM Belfort, vous pouvez vous rendre à l'adresse suivante : Techn'hom 3 centre d'affaires, 16 rue Becquerel, 90000, Belfort. Vous pouvez également appeler au 0381418580, envoyer un e-mail à contact@ecm-besancon.fr, ou visiter le site internet https://www.ecm-france.fr. L'école est également présente sur Linkedin et Instagram pour plus d'informations.
            "
Ecole de commerce et management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/ecole-de-commerce-et-management.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/ecole-de-commerce-et-management.html,ECM Dijon,Dijon,381418580,contact@ecm-france.fr,Bourgogne-Franche-Comté,,https://www.ecm-france.fr/,"Dijon
30 Avenue Françoise Giroud
21000 Dijon","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, vous pouvez contacter l'ECM Dijon par téléphone au 0381418580, par e-mail à contact@ecm-france.fr, ou visiter leur site internet https://www.ecm-france.fr. L'école est également active sur les réseaux sociaux, notamment Instagram, Facebook, et Linkedin, offrant ainsi plusieurs canaux pour s'informer et interagir avec l'école.
            "
Pôle formation 58-89 Sens,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-formation-des-industries-technologiques-yonne-nievre-sens-72222.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-formation-des-industries-technologiques-yonne-nievre-sens-72222.html,,Sens,386492600,communication@pole-formation.net,Bourgogne-Franche-Comté,,https://www.pole-formation.net/,"Sens
9 Boulevard Maupéou
89100 Sens","
                Pour contacter Pôle formation 58-89 Sens, vous pouvez adresser un mail à contact@pole-formation.net, appeler le 0386492600, ou encore visiter leur site internet https://www.pole-formation.net. L'école est également présente sur les réseaux sociaux, notamment Facebook et Linkedin, où vous pouvez suivre ses actualités et événements.
            "
"Arts et Métiers, campus de Cluny",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-cluny-6478.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-cluny-6478.html,,Cluny,385595353,,Bourgogne-Franche-Comté,,https://artsetmetiers.fr/fr/,"Cluny
rue Porte de Paris
71250 Cluny","
                Pour contacter le campus de Cluny d'Arts et Métiers, vous pouvez utiliser l'adresse rue Porte de Paris, 71250, Cluny, ou appeler le 0385595353. Plus d'informations sont disponibles sur leur site internet https://artsetmetiers.fr/fr/ et sur leurs réseaux sociaux.
            "
Université de technologie de Belfort-Montbéliard,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-universite-de-technologie-de-belfort-montbeliard-7650.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-universite-de-technologie-de-belfort-montbeliard-7650.html,UTBM,Belfort,384583000,service.admissions@utbm.fr,Bourgogne-Franche-Comté,,https://www.utbm.fr/,"Belfort
UTBM
site de Belfort
90010 Belfort cedex","
                Pour toute information, l'UTBM peut être contactée au 0384583000 ou par e-mail à service.admissions@utbm.fr. Les intéressés peuvent également suivre l'école sur Facebook et Twitter ou visiter son site internet pour les dernières actualités et informations.
            "
