ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
ISFFEL,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-isffel-4282.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-isffel-4282.html,,Saint-Pol-de-Léon,298290315,contact@isffel.fr,Bretagne,,https://www.isffel.fr/,"Saint-Pol-de-Léon
1050 Pen Ar Prat
29250 Saint-Pol-de-Léon","
                Pour contacter l'ISFFEL, vous pouvez envoyer un e-mail à contact@isffel.fr, appeler le 0298290315, ou visiter le site internet https://www.isffel.fr. L'école est également présente sur Linkedin et Facebook pour plus d'informations.
            "
CFA DIFCAM Ouest,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-863.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-863.html,,Quimper,298908574,ouest@difcam.com,Bretagne,,https://www.difcam.com/,"Quimper
2 rue de l'Université
29334 Quimper Cedex","
                Pour contacter le CFA DIFCAM Ouest, les intéressés peuvent se rendre à l'adresse 2 rue de l'Université, 29107, Quimper, Cedex, appeler le numéro 0298908574, envoyer un e-mail à ouest@difcam.com, ou visiter le site internet https://www.difcam.com/. L'école est également présente sur Facebook et Linkedin pour plus d'informations.
            "
Observatoire des sciences de l'univers de Rennes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-des-sciences-de-l-univers-de-rennes-80413.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-des-sciences-de-l-univers-de-rennes-80413.html,OSUR,Rennes,223236075,multicom-osur@univ-rennes1.fr,Bretagne,,https://osur.univ-rennes1.fr/,"Rennes
263 av du Général Leclerc
campus de Beaulieu
35042 Rennes cedex","
                Pour toute information supplémentaire ou pour entamer le processus d'admission, l'OSUR peut être contacté directement à son adresse sur le campus de Beaulieu, 263 av du Général Leclerc, 35000, Rennes, cedex. Les intéressés peuvent également appeler au 0223236075, envoyer un e-mail à multicom-osur@univ-rennes1.fr, ou visiter le site internet https://osur.univ-rennes1.fr pour plus de détails sur les programmes et les modalités d'admission.
            "
Ecole normale supérieure de Rennes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-normale-superieure-de-rennes-9710.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-normale-superieure-de-rennes-9710.html,ENS Rennes,Bruz,299059300,contact@ens-rennes.fr,Bretagne,,https://www.ens-rennes.fr/,"Bruz
Av Robert Schuman
Campus de Ker Lann
35170 Bruz","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'ENS Rennes par téléphone au 0299059300, ou par e-mail à contact@ens-rennes.fr. L'école est également présente sur les réseaux sociaux, notamment Facebook et Twitter, et dispose d'un site internet complet à l'adresse https://www.ens-rennes.fr.
            "
"Faculté de droit, des sciences économiques et de gestion",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-des-sciences-economiques-et-de-gestion-9361.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-des-sciences-economiques-et-de-gestion-9361.html,Faculté DSEG,Vannes,297012600,dseg@listes.univ-ubs.fr,Bretagne,,https://www-facultedseg.univ-ubs.fr/,"Vannes
BP 573
Campus de Tohannic
56017 Vannes cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, la Faculté DSEG peut être contactée à l'adresse Campus de Tohannic, BP 573, 56000, Vannes, cedex. Le numéro de téléphone est le 0297012600 et l'adresse e-mail est dseg@listes.univ-ubs.fr. Plus de détails sont disponibles sur leur site internet : https://www-facultedseg.univ-ubs.fr.
            "
"Faculté de lettres, langues, sciences humaines et sociales",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-lettres-langues-sciences-humaines-et-sociales-9360.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-lettres-langues-sciences-humaines-et-sociales-9360.html,Faculté LLSHS,Lorient,297872929,llshs@listes.univ-ubs.fr,Bretagne,,https://www-facultellshs.univ-ubs.fr/,"Lorient
4 rue Jean Zay
BP 92116
56321 Lorient cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter la Faculté LLSHS par téléphone au 0297872929, par e-mail à llshs@listes.univ-ubs.fr, ou visiter leur site internet https://www-facultellshs.univ-ubs.fr. L'adresse de l'établissement est 4 rue Jean Zay, 56100, Lorient, cedex, BP 92116. Vous pouvez également suivre leurs actualités sur Facebook à l'adresse https://www.facebook.com/lettresUBS.
            "
Faculté des sciences et sciences de l'ingénieur,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-sciences-de-l-ingenieur-9359.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-sciences-de-l-ingenieur-9359.html,Faculté SSI,Lorient,297880550,ssi@univ-ubs.fr,Bretagne,,https://www.univ-ubs.fr/ssi,"Lorient
2 rue le Coat Saint Haouen
BP 92116
56321 Lorient cedex","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté SSI par téléphone au 0297880550, par e-mail à ssi@univ-ubs.fr, ou visiter le site internet https://www.univ-ubs.fr/ssi. L'adresse de l'établissement est 2 rue le Coat Saint Haouen, 56100, Lorient, cedex, BP 92116.
            "
Institut catholique de Rennes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-catholique-de-rennes-9357.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-catholique-de-rennes-9357.html,ICR,Bruz,0,,Bretagne,,,,
UFR sciences sociales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-sociales-9351.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-sociales-9351.html,,Rennes,299141782,,Bretagne,,,"Rennes
UFR Sciences Sociales, Bâtiment S
Place Recteur Henri le Moal
CS 24307
35000 Rennes","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR sciences sociales à l'adresse suivante : Place Recteur Henri le Moal, UFR Sciences Sociales, Bâtiment S, 35000, Rennes, CS 24307. Le numéro de téléphone est le 0299141782.
            "
UFR sciences humaines,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-humaines-9350.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-humaines-9350.html,,Rennes,299141971,loic.bremaud@univ-rennes2.fr,Bretagne,,https://www.univ-rennes2.fr/ufr-sciences-humaines,"Rennes
UFR Sciences Humaines, Bâtiment S
Place Recteur Henri le Moal
CS 24307
35043 Rennes","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'UFR sciences humaines à l'adresse Place Recteur Henri le Moal, Bâtiment S, 35000, Rennes, CS 24307. Téléphone : 0299141971, E-mail : loic.bremaud@univ-rennes2.fr. Plus de détails sont disponibles sur le site internet : https://www.univ-rennes2.fr/ufr-sciences-humaines.
            "
