ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Centre de formation d'apprentis des universités Centre-Val de Loire,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-des-universites-centre-val-de-loire-80448.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-des-universites-centre-val-de-loire-80448.html,CFA des universités,Orléans,,,Centre-Val de Loire,,,,
Cnam Orléans,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-cnam-82307.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-cnam-82307.html,,Orléans,,,Centre-Val de Loire,,,,
Observatoire des sciences de l'univers en région Centre,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-des-sciences-de-l-univers-en-region-centre-77957.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-des-sciences-de-l-univers-en-region-centre-77957.html,OSUC,Orléans,,,Centre-Val de Loire,,,,
Ecole nationale d'applications des géosciences,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-d-applications-des-geosciences-78360.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-d-applications-des-geosciences-78360.html,ENAG,Orléans,,,Centre-Val de Loire,,,,
Institut d'administration des entreprises,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9022.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9022.html,IAE Orléans,Orléans,,,Centre-Val de Loire,,,,
"Faculté de droit, d'économie et de gestion",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-collegium-de-droit-d-economie-et-de-gestion-9021.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-collegium-de-droit-d-economie-et-de-gestion-9021.html,,Orléans,,,Centre-Val de Loire,,,,
Collegium sciences et techniques,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-collegium-sciences-et-techniques-9020.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-collegium-sciences-et-techniques-9020.html,,Orléans,,,Centre-Val de Loire,,,,
Institut d'administration des entreprises,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9053.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-9053.html,IAE,Tours,,,Centre-Val de Loire,,,,
Antenne universitaire de Blois,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-universitaire-de-blois-9048.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-universitaire-de-blois-9048.html,,Blois,,,Centre-Val de Loire,,,,
Institut universitaire de technologie,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-universitaire-de-technologie-9047.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-universitaire-de-technologie-9047.html,IUT,Tours,,,Centre-Val de Loire,,,,
