ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Faculté de psychologie,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-psychologie-78184.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-psychologie-78184.html,nan,Strasbourg,0368851890,,Grand Est,nan,https://psychologie.unistra.fr/,"Strasbourg
12 rue Goethe
67000 Strasbourg","
                Pour toute information supplémentaire ou pour entamer une démarche d'admission, la Faculté de psychologie peut être contactée à l'adresse 12 rue Goethe, 67000, Strasbourg. Le numéro de téléphone est le 0368851890 et le site internet est accessible via https://psychologie.unistra.fr. Les étudiants intéressés par la vie associative peuvent également contacter l'Amicale de psychologie de l'université Strasbourg par e-mail à association.lapsus@gmail.com.
            "
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-78878.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-78878.html,CFA université de Reims Champagne-Ardenne,Reims,0326918666,cfa@univ-reims.fr,Grand Est,nan,https://www.univ-reims.fr/,"Reims
2 avenue Robert Schuman
51100 Reims","
                Pour contacter le CFA université de Reims Champagne-Ardenne, les intéressés peuvent se rendre à l'adresse suivante : 2 avenue Robert Schuman, 51000, Reims. Il est également possible de joindre l'établissement par téléphone au 0326918666, par e-mail à cfa@univ-reims.fr, ou via les réseaux sociaux Twitter et Linkedin aux adresses https://twitter.com/CfaDfpa et https://www.linkedin.com/in/cfa-dfpa respectivement. Pour plus d'informations, le site internet de l'école est accessible à l'adresse https://www.univ-reims.fr.
            "
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-79598.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-79598.html,CFA LEEM Alsace,Illkirch-Graffenstaden,0368854280,info@leem-apprentissage.org,Grand Est,nan,https://www.apprentissage-industries-de-sante.org/,"Illkirch-Graffenstaden
74 route du Rhin
BP 60024
67401 Illkirch-Graffenstaden cedex","
                Pour contacter le CFA LEEM Alsace, vous pouvez adresser un courrier à l'adresse suivante : 74 route du Rhin, 67400, Illkirch-Graffenstaden, cedex, BP 60024. Vous pouvez également appeler au 0368854280, envoyer un email à info@leem-apprentissage.org ou visiter le site internet https://www.apprentissage-industries-de-sante.org pour plus d'informations.
            "
Haute école des arts du Rhin. Académie supérieure de musique de Strasbourg,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-haute-ecole-des-arts-du-rhin-academie-superieure-de-musique-de-strasbourg-81183.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-haute-ecole-des-arts-du-rhin-academie-superieure-de-musique-de-strasbourg-81183.html,HEAR musique,Strasbourg,0368986073,academie.strasbourg@hear.fr,Grand Est,nan,https://www.hear.fr/,"Strasbourg
1 Place Dauphine
67100 Strasbourg","
                Pour contacter HEAR musique, vous pouvez vous rendre à l'adresse 1 Place Dauphine, 67000, Strasbourg. Pour une réponse plus rapide, vous pouvez également appeler le 0368986073, visiter le site internet https://www.hear.fr, ou envoyer un e-mail à academie.strasbourg@hear.fr.
            "
CFA DIFCAM Est,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-est.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cfa-difcam-est.html,CFA DIFCAM Est,Metz,,est@difcam.com,Grand Est,nan,https://www.difcam.com/,"Metz
56 Avenue André Malraux
57000 Metz","
                Pour contacter le CFA DIFCAM Est, les intéressés peuvent se rendre à l'adresse suivante : 56 Avenue André Malraux, 57000, Metz. Il est également possible de contacter l'établissement par téléphone ou par e-mail à est@difcam.com pour toute demande d'information ou pour entamer le processus d'admission.
            "
AgroParisTech - campus de Nancy,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-agroparistech-centre-de-nancy-9669.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-agroparistech-centre-de-nancy-9669.html,nan,Nancy,0383396800,,Grand Est,nan,https://www.agroparistech.fr/,"Nancy
14 rue Girardet
CS 14216
54042 Nancy cedex","
                Pour contacter AgroParisTech - campus de Nancy, vous pouvez vous rendre à l'adresse suivante : 14 rue Girardet, 54000 Nancy, cedex, CS 14216. Le numéro de téléphone est le 0383396800. Pour plus d'informations, visitez le site internet https://www.agroparistech.fr ou suivez les actualités de l'école sur Facebook (https://www.facebook.com/AgroParisTech) et Twitter (https://twitter.com/AgroParisTech). Pour toute question spécifique, vous pouvez également contacter les associations étudiantes via leurs e-mails ou sites internet.
            "
Campus des Comtes de Champagne,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-universitaire-de-troyes-9285.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-universitaire-de-troyes-9285.html,nan,Troyes,0325809915,centre-universitaire-de-troyes@univ-reims.fr,Grand Est,nan,"https://www.univ-reims.fr/minisite_109/presentation/bienvenue-au-centre-universitaire-de-troyes,8402,16009.html","Troyes
Hôtel DieuLeComte place du Préau
BP 60076
10901 Troyes cedex 9","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, le Campus des Comtes de Champagne peut être contacté à l'adresse Hôtel DieuLeComte place du Préau, 10000, Troyes, cedex 9, BP 60076. Le numéro de téléphone est le 0325809915 et l'adresse e-mail est centre-universitaire-de-troyes@univ-reims.fr. Plus de détails sont disponibles sur leur site internet.
            "
Ecole d'ingénieur en sciences industrielles et numérique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-technique-superieure-9282.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-technique-superieure-9282.html,EiSINe,Charleville-Mézières,0324596470,scol.ifts@univ-reims.fr,Grand Est,nan,http://www.univ-reims.fr/formations/filiere-ingenieur/filiere-ingenieur.19365.32866.html,"Charleville-Mézières
7 bd Delautre
BP 50028
08005 Charleville-Mézières cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'EiSINe est joignable à l'adresse 7 bd Delautre, 08000, Charleville-Mézières, cedex, BP 50028. Vous pouvez également contacter l'école par téléphone au 0324596470 ou par e-mail à scol.ifts@univ-reims.fr. Pour plus de détails sur les formations et les modalités d'admission, n'hésitez pas à visiter le site internet de l'école.
            "
UFR sciences et techniques des activités physiques et sportives,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-9281.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-9281.html,UFR STAPS,Reims,0326913890,scolarite.staps@univ-reims.fr,Grand Est,nan,,"Reims
Campus Moulin de la Housse
BP 1036
51687 Reims cedex 2","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR STAPS peut être contactée à l'adresse Campus Moulin de la Housse, 51000 Reims, cedex 2, BP 1036. Le numéro de téléphone est le 0326913890 et l'adresse e-mail pour la scolarité est scolarite.staps@univ-reims.fr.
            "
UFR de médecine,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-medecine-9279.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-medecine-9279.html,nan,Reims,0326918183,ufr-medecine@univ-reims.fr,Grand Est,nan,https://www.univ-reims.fr/ufrmedecine,"Reims
51 rue Cognacq Jay
CS 30018
51095 Reims cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR de médecine peut être contactée à l'adresse 51 rue Cognacq Jay, 51000 Reims, cedex, CS 30018. Par téléphone au 0326918183, par e-mail à ufr-medecine@univ-reims.fr, ou via leur site internet https://www.univ-reims.fr/ufrmedecine.
            "
