ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
Institut national des techniques économiques et comptables,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-5842.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-techniques-economiques-et-comptables-5842.html,INTEC,Lille,,virginie.pigny@lecnam.net,Hauts-de-France,nan,https://www.cnam-hauts-de-france.fr/institut-national-des-techniques-economiques-et-comptables-intec/,"Lille
8 bd Louis XIV
59044 Lille cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'INTEC est joignable à l'adresse 8 bd Louis XIV, 59000, Lille, cedex. Vous pouvez également contacter l'école par téléphone au 0320298668, par e-mail à virginie.pigny@lecnam.net, ou via les réseaux sociaux et le site internet officiel pour plus de détails sur les formations et la vie étudiante.
            "
Faculté des sciences et technologies,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-82787.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-82787.html,nan,Villeneuve-d'Ascq,0362268418,fst-pole-communication@univ-lille.fr,Hauts-de-France,nan,https://sciences-technologies.univ-lille.fr/,"Villeneuve-d'Ascq
Cité scientifique
BP 80
59655 Villeneuve-d'Ascq cedex","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter la Faculté des sciences et technologies par téléphone au 0362268418, par e-mail à fst-pole-communication@univ-lille.fr, ou visiter le site internet https://sciences-technologies.univ-lille.fr. L'école est également présente sur les réseaux sociaux, notamment Instagram, Linkedin, Twitter, et Facebook.
            "
Ecole d'ingénieurs du Littoral Côte d'Opale,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-d-ingenieurs-du-littoral-cote-d-opale-78773.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-d-ingenieurs-du-littoral-cote-d-opale-78773.html,EIL Côte d'Opale,Calais,0321171002,sabine.delvart@eilco.univ-littoral.fr,Hauts-de-France,nan,http://www.eilco-ulco.fr/,"Calais
50 rue Ferdinand Buisson
CS 30613
62228 Calais cedex","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'EIL Côte d'Opale par téléphone au 0321171002, par e-mail à concours@eilco.univ-littoral.fr, ou visiter leur site internet http://www.eilco-ulco.fr. L'école est également présente sur Facebook et dispose de plusieurs associations étudiantes actives, telles que Les Opaliens et Opale solutions, pour enrichir la vie étudiante.
            "
Centre de formation de la profession bancaire,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-de-la-profession-bancaire-79595.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-de-la-profession-bancaire-79595.html,CFPB. CFA Picardie,Amiens,0320149760,renaud.passerini@cfpb.fr,Hauts-de-France,nan,,"Amiens
47 rue des Trois Cailloux
80000 Amiens","
                Pour contacter le Centre de formation de la profession bancaire situé à Amiens, vous pouvez adresser un e-mail à renaud.passerini@cfpb.fr ou appeler le 0320149760. L'école est également située au 47 rue des Trois Cailloux, 80000, Amiens, pour ceux qui souhaitent se rendre sur place pour obtenir des informations ou s'inscrire.
            "
Cnam Hauts-de-France,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-cnam-hauts-de-france-77298.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-cnam-hauts-de-france-77298.html,Cnam Lille,Lille,0320298668,hdf_lille@lecnam.net,Hauts-de-France,nan,https://www.cnam-hauts-de-france.fr/,"Lille
8 bd Louis XIV
59044 Lille cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, le Cnam Hauts-de-France est joignable à l'adresse 8 bd Louis XIV, 59000, Lille, cedex. Vous pouvez également les contacter par téléphone au 0320298668, par e-mail à hdf_lille@lecnam.net, ou via leurs réseaux sociaux sur Twitter, Linkedin, Instagram, et Facebook.
            "
"Groupement des écoles santé, social",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-groupement-des-ecoles-en-sante-social-79248.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-groupement-des-ecoles-en-sante-social-79248.html,nan,Lille,0320219393,contact@iu2s.fr,Hauts-de-France,nan,https://www.institutsociallille.fr/,"Lille
83 bd Vauban
Campus St Raphaël bat C
59044 Lille cedex","
                Pour contacter le Groupement des écoles santé, social, les intéressés peuvent se rendre au Campus St Raphaël bat C, 83 bd Vauban, 59000, Lille, cedex. Il est également possible de joindre l'école par téléphone au 0320219393 ou par e-mail à contact@iu2s.fr. Pour plus d'informations, les sites internet https://www.institutsociallille.fr et https://www.iu2s.fr sont disponibles.
            "
European School of Political and Social Sciences,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-european-school-of-political-and-social-sciences-les-facultes-de-l-universite-cat-80344.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-european-school-of-political-and-social-sciences-les-facultes-de-l-universite-cat-80344.html,ESPOL,Lille,0359567956,espol@univ-catholille.fr,Hauts-de-France,nan,https://espol-lille.eu/,"Lille
60 boulevard Vauban
CS 40109
59016 Lille cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, ESPOL est joignable à l'adresse 60 boulevard Vauban, 59000, Lille, cedex, CS 40109. Les candidats peuvent également contacter l'école par téléphone au 0359567956, par e-mail à espol@univ-catholille.fr, ou via les réseaux sociaux tels que Facebook, Instagram, Twitter, et Linkedin.
            "
Institut d'ingénierie de la santé,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-ingenierie-de-la-sante-81366.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-ingenierie-de-la-sante-81366.html,2IS,Amiens,0322827737,,Hauts-de-France,nan,,"Amiens
3 rue des Louvels
CS 13036
80036 Amiens cedex 1","
                Pour contacter l'Institut d'ingénierie de la santé, vous pouvez vous rendre à l'adresse suivante : 3 rue des Louvels, 80000 Amiens, cedex 1, CS 13036. Le numéro de téléphone est le 0322827737. Pour toute question spécifique, notamment sur les associations étudiantes, vous pouvez envoyer un e-mail à contacteraadeis@gmail.com.
            "
Pôle arts plastiques,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-arts-plastiques-81244.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-arts-plastiques-81244.html,nan,Tourcoing,0320417490,artsplastiques@univ-lille.fr,Hauts-de-France,nan,,"Tourcoing
29 31 rue Leverrier
BP 50171
59333 Tourcoing cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, Pôle arts plastiques peut être contacté à l'adresse 29 31 rue Leverrier, 59200, Tourcoing, cedex, BP 50171. Le numéro de téléphone est le 0320417490 et les demandes par e-mail peuvent être envoyées à artsplastiques@univ-lille.fr. Les étudiants intéressés par les activités associatives peuvent également contacter l'association Artefact à l'adresse associationartefac1901@gmail.com.
            "
Département Infocom - Université de Lille,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-information-et-communication-81181.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-departement-information-et-communication-81181.html,nan,Roubaix,0320417450,infocom@univ-lille.fr,Hauts-de-France,nan,https://icid.univ-lille.fr/departement-infocom,"Roubaix
BP 35
2, rue du président Vincent Auriol
59051 Roubaix cedex 1","
                Pour contacter le Département Infocom de l'Université de Lille, vous pouvez vous rendre à l'adresse suivante : 2, rue du président Vincent Auriol, BP 35, 59051, Roubaix, cedex 1. Vous pouvez également appeler au 0320417450, envoyer un e-mail à infocom@univ-lille.fr, ou visiter leur site internet et réseaux sociaux.
            "
