ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
"LA MANU, campus Le Havre",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/la-manu-campus-le-havre.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/la-manu-campus-le-havre.html,nan,Le Havre,0986271704,contact-lehavre@lamanu.fr,Normandie,nan,https://www.lamanu.fr/,"Le Havre
10 Place Léon Meyer
76600 Le Havre","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter LA MANU, campus Le Havre, au 0986271704 ou par e-mail à contact-lehavre@lamanu.fr. Plus de détails sont disponibles sur leur site internet https://www.lamanu.fr, ainsi que sur leurs réseaux sociaux Twitter, Facebook, et Linkedin.
            "
FIM CCI Formation Campus de Cherbourg,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-des-metiers-et-du-management-cherbourg-82634.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-des-metiers-et-du-management-cherbourg-82634.html,nan,Cherbourg-en-Cotentin,0233788688,fim-cherbourg@normandie.cci.fr,Normandie,nan,https://fim.fr/,"Cherbourg-en-Cotentin
15 rue des Vindits
BP 84
50130 Cherbourg-en-Cotentin","
                Pour contacter FIM CCI Formation Campus de Cherbourg, vous pouvez vous rendre à l'adresse 15 rue des Vindits, 50100, Cherbourg-en-Cotentin, BP 84, appeler le 0233788688, envoyer un e-mail à fim-cherbourg@normandie.cci.fr, ou visiter le site internet https://fim.fr/. L'école est également présente sur les réseaux sociaux tels que LinkedIn, Instagram, et Facebook.
            "
UFR des sciences et techniques,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-et-techniques-9389.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-et-techniques-9389.html,nan,Le Havre,0232744300,ufr-st@univ-lehavre.fr,Normandie,nan,,"Le Havre
25 rue Philippe Lebon
BP 1123
76063 Le Havre cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR des sciences et techniques peut être contactée à l'adresse 25 rue Philippe Lebon, 76000, Le Havre, cedex, BP 1123. Le téléphone est le 0232744300 et l'e-mail ufr-st@univ-lehavre.fr.
            "
Faculté des affaires internationales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-affaires-internationales-9388.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-affaires-internationales-9388.html,Fac AI,Le Havre,0232744100,accueil.ai@univ-lehavre.fr,Normandie,nan,https://fai.univ-lehavre.fr/,"Le Havre
25 rue Philippe Lebon
BP 1123
76063 Le Havre cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter Fac AI au 0232744100 ou par e-mail à accueil.ai@univ-lehavre.fr. Plus de détails sont disponibles sur leur site internet https://fai.univ-lehavre.fr. L'adresse de l'établissement est 25 rue Philippe Lebon, 76000, Le Havre, cedex, BP 1123.
            "
Campus d'Evreux,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-d-evreux-9383.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-d-evreux-9383.html,nan,Évreux,0232399070,scolarite.evreux@univ-rouen.fr,Normandie,nan,,"Évreux
1 rue du Septième Chasseur
BP 281
27002 Évreux cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter le Campus d'Evreux à l'adresse 1 rue du Septième Chasseur, 27000, Évreux, cedex, BP 281. Le numéro de téléphone est le 0232399070 et l'adresse e-mail est scolarite.evreux@univ-rouen.fr.
            "
UFR santé,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sante-8330.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sante-8330.html,nan,Caen,0231568200,sante.communication@unicaen.fr,Normandie,nan,https://ufrsante.unicaen.fr/,"Caen
CS 14032
2 rue des Rochambelles
14032 Caen cedex 5","
                Pour contacter l'UFR santé, vous pouvez vous rendre à l'adresse suivante : 2 rue des Rochambelles, CS 14032, 14000, Caen, cedex 5. Vous pouvez également appeler le 0231568200, envoyer un e-mail à sante.communication@unicaen.fr, ou visiter le site internet https://ufrsante.unicaen.fr pour plus d'informations.
            "
UFR sciences et techniques des activités physiques et sportives,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-8328.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-8328.html,UFR STAPS,Caen,0231567254,staps.accueil@unicaen.fr,Normandie,nan,,"Caen
bd du Maréchal Juin
campus 2
14032 Caen cedex 5","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UFR STAPS de Caen au campus 2, bd du Maréchal Juin, 14000, Caen, cedex 5. Le numéro de téléphone est le 0231567254 et l'adresse e-mail est staps.accueil@unicaen.fr.
            "
UFR langues vivantes étrangères,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-langues-vivantes-etrangeres-8327.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-langues-vivantes-etrangeres-8327.html,UFR LVE,Caen,0231565777,lve.secretariat@unicaen.fr,Normandie,nan,https://ufr-lve.unicaen.fr/,"Caen
esplanade de la Paix
CS 14032
14032 Caen cedex 5","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, l'UFR LVE est joignable à l'adresse esplanade de la Paix, 14000 Caen, cedex 5, CS 14032. Les candidats peuvent également contacter l'école par téléphone au 0231565777, par e-mail à lve.secretariat@unicaen.fr, ou visiter le site internet https://ufr-lve.unicaen.fr pour plus de détails sur les programmes et les modalités d'inscription.
            "
UFR des sciences,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-8326.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-sciences-8326.html,nan,Caen,0231567300,sciences@unicaen.fr,Normandie,nan,https://ufrsciences.unicaen.fr/,"Caen
campus 2 / bd du Maréchal Juin
CS 14032
14032 Caen cedex 5","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'UFR des sciences de Caen au 0231567300, par e-mail à sciences@unicaen.fr, ou visiter le site internet https://ufrsciences.unicaen.fr. L'adresse du campus est campus 2 / bd du Maréchal Juin, 14000, Caen, cedex 5, CS 14032.
            "
"UFR de sciences économiques, de gestion, de géographie et d'aménagement du territoire",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-sciences-economiques-de-gestion-de-geographie-et-d-amenagement-du-territoir-8324.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-sciences-economiques-de-gestion-de-geographie-et-d-amenagement-du-territoir-8324.html,UFR SEGGAT,Caen,"0231565464
0231565527",seggat.direction@unicaen.fr,Normandie,nan,https://seggat.unicaen.fr/,"Caen
Bâtiment D
campus 1 / esplanade de la Paix
CS 14032
14032 Caen cedex 5","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'UFR SEGGAT par téléphone au 0231565464 ou 0231565527, par e-mail à seggat.direction@unicaen.fr, ou visiter le site internet https://seggat.unicaen.fr. L'adresse de l'établissement est campus 1 / esplanade de la Paix, 14000, Caen, cedex 5, CS 14032.
            "
