ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url,ecole_address,ecole_comment_contacter
"INSEEC Masters of Science et MBA, campus de Bordeaux",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-bordeaux-82143.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-bordeaux-82143.html,nan,Bordeaux,0556007387,admissions-mbabordeaux@inseec.com,Nouvelle-Aquitaine,nan,,"Bordeaux
hangar 18 quai de Bacalan
CS9104
33070 Bordeaux cedex","
                Pour toute information supplémentaire ou pour candidater, vous pouvez contacter l'INSEEC Masters of Science et MBA au 0556007387 ou par e-mail à admissions-mbabordeaux@inseec.com. L'école est située au hangar 18 quai de Bacalan, 33000, Bordeaux, cedex, CS9104. Vous pouvez également trouver plus d'informations sur leur page Linkedin.
            "
Unité de formation des sciences de l'ingénieur - Collège sciences et technologies,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-des-sciences-de-l-ingenieur-college-sciences-et-technologies-82072.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-des-sciences-de-l-ingenieur-college-sciences-et-technologies-82072.html,UF SDI,Talence,,administration.ufsdi@u-bordeaux.fr,Nouvelle-Aquitaine,nan,https://sciences-ingenieur.u-bordeaux.fr/,"Talence
351 cours de la Liberation
bât A1
33405 Talence cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UF SDI à l'adresse suivante : bât A1, 351 cours de la Liberation, 33400, Talence, cedex. Les demandes par e-mail peuvent être envoyées à administration.ufsdi@u-bordeaux.fr. Plus d'informations sont également disponibles sur leur site internet : https://sciences-ingenieur.u-bordeaux.fr.
            "
Faculté des sciences de l'éducation et de la formation - Collège sciences de l'homme,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-de-l-education-college-sciences-de-l-homme-82063.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-de-l-education-college-sciences-de-l-homme-82063.html,nan,Bordeaux,0557573052,secretariat.sc-educ@u-bordeaux.fr,Nouvelle-Aquitaine,nan,https://sciences-education.u-bordeaux.fr/,"Bordeaux
3 ter place de la Victoire
33076 Bordeaux cedex","
                Pour toute information, vous pouvez contacter la faculté à l'adresse 3 ter place de la Victoire, 33000, Bordeaux, cedex. Par e-mail à secretariat.sc-educ@u-bordeaux.fr ou par téléphone au 0557573052. Plus d'informations sont disponibles sur leur site internet https://sciences-education.u-bordeaux.fr/ et leur page Linkedin.
            "
Faculté de psychologie - Collège sciences de l'homme,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-psychologie-college-sciences-de-l-homme-82062.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-psychologie-college-sciences-de-l-homme-82062.html,nan,Bordeaux,0557571864,secretariat.psycho@u-bordeaux.fr,Nouvelle-Aquitaine,nan,,"Bordeaux
3 ter place de la Victoire
bât H
33076 Bordeaux","
                Pour toute demande d'information ou pour entamer une procédure d'admission, vous pouvez contacter la Faculté de psychologie - Collège sciences de l'homme à l'adresse suivante : bât H, 3 ter place de la Victoire, 33000, Bordeaux. Le secrétariat est joignable par téléphone au 0557571864 ou par e-mail à secretariat.psycho@u-bordeaux.fr. Les associations étudiantes comme Psychedeclic sont également disponibles pour répondre aux questions des futurs étudiants.
            "
"Faculté d'anthropologie sociale, ethnologie - Collège sciences de l'homme",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-d-anthropologie-sociale-ethnologie-college-sciences-de-l-homme-82061.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-d-anthropologie-sociale-ethnologie-college-sciences-de-l-homme-82061.html,nan,Bordeaux,0557571808,secretariat.ethno@u-bordeaux.fr,Nouvelle-Aquitaine,nan,https://anthropologie-sociale.u-bordeaux.fr/,"Bordeaux
3 ter place de la Victoire
33076 Bordeaux cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter la faculté à l'adresse 3 ter place de la Victoire, 33000, Bordeaux, cedex. Le numéro de téléphone est le 0557571808 et l'adresse e-mail est secretariat.ethno@u-bordeaux.fr. Plus d'informations sont disponibles sur le site internet https://anthropologie-sociale.u-bordeaux.fr.
            "
Unité de formation de mathématiques et interactions - Collège sciences et technologies,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-de-mathematiques-et-interactions-college-sciences-et-technolog-82055.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-unite-de-formation-de-mathematiques-et-interactions-college-sciences-et-technolog-82055.html,UF MI,Talence,0540006177,direction-ufmi@u-bordeaux.fr,Nouvelle-Aquitaine,nan,https://math-interactions.u-bordeaux.fr/,"Talence
351 cours de la Libération
bât A33
33405 Talence cedex","
                Pour toute information supplémentaire ou pour entamer une procédure d'admission, vous pouvez contacter l'UF MI à l'adresse suivante : bât A33, 351 cours de la Libération, 33400, Talence, cedex. Le numéro de téléphone est le 0540006177 et l'adresse e-mail pour la direction est direction-ufmi@u-bordeaux.fr. Plus d'informations sont également disponibles sur leur site internet : https://math-interactions.u-bordeaux.fr.
            "
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-78117.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-78117.html,CFA LEEM Aquitaine,Bordeaux,0557579542,info@leem-apprentissage.org,Nouvelle-Aquitaine,nan,https://www.apprentissage-industries-de-sante.org/,"Bordeaux
146 rue Léo Saignat
CS 61292
33076 Bordeaux cedex","
                Pour contacter le CFA LEEM Aquitaine, vous pouvez adresser un courriel à info@leem-apprentissage.org, appeler le 0557579542, ou visiter le site internet https://www.apprentissage-industries-de-sante.org. L'école est située au 146 rue Léo Saignat, 33000 Bordeaux, cedex, CS 61292.
            "
Centre de formation d'apprentis,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-enseignement-superieur-recherche-poitou-charentes-77986.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-enseignement-superieur-recherche-poitou-charentes-77986.html,CFA sup Nouvelle-Aquitaine,Chasseneuil-du-Poitou,0549453386,cfa@univ-poitiers.fr,Nouvelle-Aquitaine,nan,https://www.cfasup-na.fr/,"Chasseneuil-du-Poitou
Bâtiment H08 - Téléport 2
23 Avenue René Cassin
86360 Chasseneuil-du-Poitou","
                Pour contacter le CFA sup Nouvelle-Aquitaine, les intéressés peuvent se rendre à l'adresse suivante : 23 Avenue René Cassin, Bâtiment H08 - Téléport 2, 86360, Chasseneuil-du-Poitou. Il est également possible de joindre l'établissement par téléphone au 0549453386 ou par e-mail à cfa@univ-poitiers.fr. Pour plus d'informations, le site internet https://www.cfasup-na.fr/ est à disposition.
            "
Antenne de Bayonne,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-de-bayonne-78896.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-antenne-de-bayonne-78896.html,nan,Bayonne,0559574195,staps.bayonne@u-bordeaux.fr,Nouvelle-Aquitaine,nan,https://cfiup-bayonne.u-bordeaux.fr/,"Bayonne
8 allée des Platanes
CS 68505
64185 Bayonne cedex","
                Pour contacter l'Antenne de Bayonne, vous pouvez vous rendre à l'adresse suivante : 8 allée des Platanes, 64100, Bayonne, cedex, CS 68505. Vous pouvez également appeler au 0559574195, envoyer un e-mail à staps.bayonne@u-bordeaux.fr ou visiter le site internet https://cfiup-bayonne.u-bordeaux.fr pour plus d'informations.
            "
Centre de formation d'apprentis de l'UPPA,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-79487.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-d-apprentis-79487.html,CFA UPPA,Pau,0559407675,alexandra.nicolas@univ-pau.fr,Nouvelle-Aquitaine,nan,https://forco.univ-pau.fr/fr/alternance/modalites.html,"Pau
BP 1155
1 Avenue de l'université
64012 Pau PAU CEDEX","
                Pour contacter le Centre de formation d'apprentis de l'UPPA, les intéressés peuvent se rendre à l'adresse suivante : 1 Avenue de l'université, BP 1155, 64000, Pau, PAU CEDEX. Il est également possible de contacter l'école par téléphone au 0559407675, par e-mail à alexandra.nicolas@univ-pau.fr, ou de visiter le site internet https://forco.univ-pau.fr/fr/alternance/modalites.html pour plus d'informations.
            "
